,Sheet Name,Primary,Client Name,Est,Estimate Name,Month of Service,Product Name,Ordered,Status,Publisher,Billed,Missing Invoice/Incorrect Placement,Assigned To,Due Date,Placement name,Placement ID,Actual Net Billable,Approval Status,Estimate Status
22,2021-07_HDA6 Mid Atlantic Digital Grid,CWW,IWA_Hyundai_Tier2_Mid Atlantic,75567,Evergreen_ProgDigitalTV_Auctio,2021-06-01,Basebuy,5368.93,Approved,CANVAS,5204.58,,Luke Goldstein,2021-07-06,MAT_GHW_HYU_CRP_CRC_NON_BHT_P2+++_NON_CANVAS PROGRAMMATIC_LIF_OPX_NON_VCR_HDAA - MAT - GHW - DigitalTV - TTD - Basic_0x0_None_DVB_NON_N_No Button_N_NON,P1JSLH1,5364.58,Media Buy (Ordered <> Billable): Delta = $4.35,Dependent
23,2021-07_HDA6 Mid Atlantic Digital Grid,CWW,IWA_Hyundai_Tier2_Mid Atlantic,75567,Evergreen_ProgDigitalTV_Auctio,2021-07-01,Basebuy,3752.26,Approved,CANVAS,0.0,,Luke Goldstein,2021-07-06,MAT_GHW_HYU_CRP_CRC_NON_BHT_P2+++_NON_CANVAS PROGRAMMATIC_LIF_OPX_NON_VCR_HDAA - MAT - GHW - DigitalTV - TTD - Basic_0x0_None_DVB_NON_N_No Button_N_NON,P1JSLH1,3752.26,Media Buy: Approved,Dependent
24,2021-08_HDA6 Mid Atlantic Digital Grid,CWW,IWA_Hyundai_Tier2_Mid Atlantic,75567,Evergreen_ProgDigitalTV_Auctio,2021-08-01,Basebuy,5392.8,Approved,CANVAS,0.0,,Luke Goldstein,2021-08-05,MAT_GHW_HYU_CRP_CRC_NON_BHT_P2+++_NON_CANVAS PROGRAMMATIC_LIF_OPX_NON_VCR_HDAA - MAT - GHW - DigitalTV - TTD - Basic_0x0_None_DVB_NON_N_No Button_N_NON,P1JSLH1,5392.8,Media Buy: Approved,Dependent
25,2021-07_HDA6 Mid Atlantic Digital Grid,CWW,IWA_Hyundai_Tier2_Mid Atlantic,75568,Evergreen_ProgDigitalTV_Auctio,2021-06-01,Basebuy,11001.78,Approved,CANVAS,10664.99,,Luke Goldstein,2021-07-06,MAT_NOR_HYU_CRP_CRC_NON_BHT_P2+++_NON_CANVAS PROGRAMMATIC_LIF_OPX_NON_VCR_HDAA - MAT - NOR - DigitalTV - TTD - Basic_0x0_None_DVB_NON_N_No Button_N_NON,P1JSLKQ,10978.3,Media Buy (Ordered <> Billable): Delta = $23.48,Dependent
26,2021-07_HDA6 Mid Atlantic Digital Grid,CWW,IWA_Hyundai_Tier2_Mid Atlantic,75568,Evergreen_ProgDigitalTV_Auctio,2021-07-01,Basebuy,11001.78,Approved,CANVAS,0.0,,Luke Goldstein,2021-07-06,MAT_NOR_HYU_CRP_CRC_NON_BHT_P2+++_NON_CANVAS PROGRAMMATIC_LIF_OPX_NON_VCR_HDAA - MAT - NOR - DigitalTV - TTD - Basic_0x0_None_DVB_NON_N_No Button_N_NON,P1JSLKQ,10987.66,Media Buy (Ordered <> Billable): Delta = $14.12,Dependent
27,2021-08_HDA6 Mid Atlantic Digital Grid,CWW,IWA_Hyundai_Tier2_Mid Atlantic,75568,Evergreen_ProgDigitalTV_Auctio,2021-08-01,Basebuy,14387.83,Approved,CANVAS,0.0,,Luke Goldstein,2021-08-05,MAT_NOR_HYU_CRP_CRC_NON_BHT_P2+++_NON_CANVAS PROGRAMMATIC_LIF_OPX_NON_VCR_HDAA - MAT - NOR - DigitalTV - TTD - Basic_0x0_None_DVB_NON_N_No Button_N_NON,P1JSLKQ,8618.06,"Media Buy (Ordered <> Billable): Delta = $5,769.77",Dependent
28,2021-08_HDA6 Mid Atlantic Digital Grid,CWW,IWA_Hyundai_Tier2_Mid Atlantic,75568,Evergreen_ProgDigitalTV_Auctio,2021-08-01,Basebuy,14387.83,Approved,CANVAS,0.0,,Luke Goldstein,2021-08-05,MAT_NOR_HYU_CRP_CRC_NON_BHT_P2+++_NON_CANVAS PROGRAMMATIC_LIF_OPX_NON_VCR_HDAA - MAT - NOR - DigitalTV - YouTube TV - DV360 - GP_0x0_None_DVB_NON_N_No Button_N_NON,P1QXFCJ,5745.37,"Media Buy (Ordered <> Billable): Delta = $8,642.46",Dependent
29,2021-07_HDA6 Mid Atlantic Digital Grid,CWW,IWA_Hyundai_Tier2_Mid Atlantic,75569,Evergreen_ProgDigitalTV_Auctio,2021-06-01,Basebuy,10375.26,Approved,CANVAS,10057.66,,Luke Goldstein,2021-07-06,MAT_RAL_HYU_CRP_CRC_NON_BHT_P2+++_NON_CANVAS PROGRAMMATIC_LIF_OPX_NON_VCR_HDAA - MAT - RAL - DigitalTV - TTD - Basic_0x0_None_DVB_NON_N_No Button_N_NON,P1JSLXK,10371.58,Media Buy (Ordered <> Billable): Delta = $3.68,Dependent
30,2021-07_HDA6 Mid Atlantic Digital Grid,CWW,IWA_Hyundai_Tier2_Mid Atlantic,75569,Evergreen_ProgDigitalTV_Auctio,2021-07-01,Basebuy,10375.26,Approved,CANVAS,0.0,,Luke Goldstein,2021-07-06,MAT_RAL_HYU_CRP_CRC_NON_BHT_P2+++_NON_CANVAS PROGRAMMATIC_LIF_OPX_NON_VCR_HDAA - MAT - RAL - DigitalTV - TTD - Basic_0x0_None_DVB_NON_N_No Button_N_NON,P1JSLXK,10369.77,Media Buy (Ordered <> Billable): Delta = $5.49,Dependent
31,2021-08_HDA6 Mid Atlantic Digital Grid,CWW,IWA_Hyundai_Tier2_Mid Atlantic,75569,Evergreen_ProgDigitalTV_Auctio,2021-08-01,Basebuy,13545.47,Approved,CANVAS,0.0,,Luke Goldstein,2021-08-05,MAT_RAL_HYU_CRP_CRC_NON_BHT_P2+++_NON_CANVAS PROGRAMMATIC_LIF_OPX_NON_VCR_HDAA - MAT - RAL - DigitalTV - TTD - Basic_0x0_None_DVB_NON_N_No Button_N_NON,P1JSLXK,13545.47,Media Buy: Approved,Dependent
